character,cast
Willy Loman,Lee J. Cobb(Albert Dekker and Gene Lockhart later)
Linda Loman,Mildred Dunnock
Biff Loman,Arthur Kennedy
Happy Loman,Cameron Mitchell 
Charley,Howard Smith
