character,cast
Walter Lee Younger,Sidney Poitier
Ruth Younger,Ruby Dee 
Joseph Asagai,Ivan Dixon
Bobo,Lonne Elder III
Karl Lindner,John Fiedler
George Murchison,Louis Gossett
Lena Younger,Claudia McNeil 
Beneatha Younger,Diana Sands
Travis Younger,Glynn Turman 
moving man,Ed Hall
moving man,Douglas Turner
