character,cast
Ma Rainey,Theresa Merritt
"Levee,trumpeter",Charles S.Dutton
"Slow Drag ,bassist",Leonard Jackson
"Toledo ,pianist",Robert Judd
"Cutler,trombonist",Joe Seneca
"Irvin,Ma's manager",Lou Criscuolo
"Sturdyvant,studio owner",John Carpenter
Dussie Mae,Aleta Mitchell
"Sylvester,Ma's nephew",Scott Davenport-Richards
Policeman,Christopher Loomis
